Patron Type Code,Patron Type Definition,Total Checkouts,Total Renewals,Age Range,Home Library Code,Home Library Definition,Circulation Active Month,Circulation Active Year,Notice Preference Code,Notice Preference Definition,Provided Email Address,Year Patron Registered,Outside of County,Supervisor District
3,SENIOR,28,13,65 to 74 years,X,Main Library,November,2012,z,email,true,2003,true,
0,ADULT,21,10,55 to 59 years,X,Main Library,October,2015,z,email,true,2003,false,
0,ADULT,275,559,60 to 64 years,X,Main Library,January,2015,z,email,true,2003,true,
0,ADULT,73,38,45 to 54 years,M8,Mission Bay,February,2016,z,email,true,2003,false,
0,ADULT,182,90,45 to 54 years,X,Main Library,July,2016,z,email,true,2003,false,
3,SENIOR,1,0,65 to 74 years,X,Main Library,July,2004,z,email,true,2003,true,
16,DIGITAL ACCESS CARD,31,4,65 to 74 years,P7,Potrero,January,2012,z,email,true,2003,false,
0,ADULT,547,177,60 to 64 years,X,Main Library,July,2016,p,phone,false,2003,true,
0,ADULT,28,1,60 to 64 years,X,Main Library,December,2015,z,email,true,2003,false,
0,ADULT,77,3,60 to 64 years,X,Main Library,July,2016,z,email,true,2003,true,
3,SENIOR,593,9,65 to 74 years,X,Main Library,September,2014,p,phone,false,2003,false,
3,SENIOR,784,589,65 to 74 years,S7,Sunset,July,2016,z,email,true,2003,true,
0,ADULT,601,702,55 to 59 years,X,Main Library,July,2016,z,email,true,2003,false,
3,SENIOR,2,6,65 to 74 years,S7,Sunset,May,2005,a,print,false,2003,true,
0,ADULT,99,226,45 to 54 years,X,Main Library,July,2014,z,email,true,2003,false,
0,ADULT,84,24,45 to 54 years,X,Main Library,August,2015,z,email,true,2003,false,
0,ADULT,369,278,55 to 59 years,M4,Merced,July,2016,z,email,true,2003,false,
3,SENIOR,65,8,65 to 74 years,N4,Noe Valley/Sally Brunn,February,2016,p,phone,false,2003,false,
0,ADULT,147,89,55 to 59 years,E9,Excelsior,March,2016,z,email,true,2003,true,
0,ADULT,93,64,60 to 64 years,X,Main Library,February,2015,z,email,true,2003,true,
0,ADULT,321,15,60 to 64 years,X,Main Library,January,2015,z,email,true,2003,false,
0,ADULT,228,200,45 to 54 years,X,Main Library,July,2016,z,email,true,2003,true,
0,ADULT,6,3,60 to 64 years,X,Main Library,December,2006,z,email,true,2003,false,
0,ADULT,120,76,35 to 44 years,C2,Chinatown,May,2016,z,email,true,2003,false,
3,SENIOR,1453,242,65 to 74 years,R3,Richmond,July,2016,z,email,true,2003,false,
0,ADULT,5,0,35 to 44 years,N6,North Beach,November,2007,z,email,true,2003,false,
